stock,date,tradeNumber,price,stopLoss,profitTarget,action
MO,2021-05-06 00:00:00,1.0,46.068363189697266,45.68000030517578,47.03927040100098,buy
PCAR,2021-05-06 00:00:00,1.0,90.74856567382812,89.05999755859375,94.96998596191406,buy
LVS,2021-05-06 00:00:00,1.0,57.27000045776367,58.13049869537353,68.83874845504761,sell
VLO,2021-05-06 00:00:00,1.0,76.46658325195312,68.12999725341797,76.21942138671875,sell
AAL,2021-05-07 00:00:00,1.0,22.0,20.940000534057617,24.649998664855957,buy
UAL,2021-05-07 00:00:00,1.0,54.72999954223633,50.63999938964844,65.91749858856201,buy
ATVI,2021-05-10 00:00:00,1.0,92.61946105957031,89.06036911010742,105.4662265777588,buy
FOXA,2021-05-10 00:00:00,1.0,38.357261657714844,36.47249984741211,41.547916412353516,buy
LYV,2021-05-10 00:00:00,2.0,83.05999755859375,76.56137552261353,95.6140649318695,buy
MO,2021-05-10 00:00:00,1.0,47.176090240478516,45.68000030517578,47.03927040100098,sell
AAL,2021-05-12 00:00:00,1.0,20.760000228881836,20.940000534057617,24.649998664855957,sell
APTV,2021-05-12 00:00:00,1.0,134.3699951171875,137.49000549316406,163.38998413085938,sell
DIS,2021-05-12 00:00:00,1.0,177.85000610351562,180.53499603271484,197.66751098632812,sell
WYNN,2021-05-12 00:00:00,1.0,120.91000366210938,122.57849884033203,145.15874862670898,sell
OXY,2021-05-13 00:00:00,1.0,23.62826919555664,23.770000457763672,27.424583435058594,sell
PXD,2021-05-13 00:00:00,1.0,143.87417602539062,144.3699951171875,160.373779296875,sell
AAL,2021-05-14 00:00:00,2.0,22.399999618530273,20.040000915527344,28.299996376037598,buy
EBAY,2021-05-14 00:00:00,1.0,60.13146209716797,58.060001373291016,65.31011390686035,buy
F,2021-05-14 00:00:00,2.0,11.720422744750977,11.140000343322754,13.171478748321533,buy
ALK,2021-05-17 00:00:00,1.0,71.66999816894531,63.63999938964844,91.7449951171875,buy
DAL,2021-05-17 00:00:00,1.0,46.75,42.939998626708984,56.27500343322754,buy
COP,2021-05-17 00:00:00,1.0,56.89591598510742,49.15999984741211,56.870243072509766,sell
SLB,2021-05-17 00:00:00,1.0,33.51753234863281,24.56999969482422,32.83753204345703,sell
CCL,2021-05-18 00:00:00,1.0,28.0,24.290000915527344,37.27499771118164,buy
ILMN,2021-05-18 00:00:00,1.0,386.3599853515625,368.07000732421875,432.0849304199219,buy
OXY,2021-05-18 00:00:00,2.0,25.780824661254883,24.49089159965515,29.354447007179264,buy
RCL,2021-05-18 00:00:00,2.0,84.9800033569336,76.12999725341797,107.10501861572266,buy
ULTA,2021-05-18 00:00:00,1.0,326.8800048828125,311.4430053710937,366.5399780273438,buy
WYNN,2021-05-18 00:00:00,2.0,126.13999938964844,121.36000061035156,138.08999633789062,buy
CPB,2021-05-18 00:00:00,1.0,47.197811126708984,47.439998626708984,50.01057815551758,sell
PCAR,2021-05-18 00:00:00,1.0,88.45832061767578,89.05999755859375,94.96998596191406,sell
NXPI,2021-05-19 00:00:00,1.0,192.4773712158203,183.31999969482422,232.48280715942383,buy
