"","stock","date","action"
"54","ADSK",2022-03-21,"Buy"
"55","ADSK",2022-03-23,"Sell"
"56","ADSK",2022-03-18,"Sell"
"57","AEE",2022-03-22,"Buy"
"58","AEE",2022-03-24,"Sell"
"59","AEE",2022-03-23,"Sell"
"60","AEE",2022-03-18,"Buy"
"61","AEP",2022-03-22,"Sell"
"62","AEP",2022-03-18,"Buy"
"63","AEP",2022-03-21,"Sell"
"64","AEP",2022-03-23,"Buy"
"65","AES",2022-03-22,"Buy"
"66","AES",2022-03-24,"Sell"
"67","AES",2022-03-21,"Buy"
"68","AES",2022-03-18,"Buy"
"69","AFL",2022-03-23,"Sell"
"70","AFL",2022-03-24,"Sell"
"71","AFL",2022-03-22,"Buy"
"72","AFL",2022-03-18,"Buy"
"73","AIG",2022-03-21,"Sell"
"74","AIG",2022-03-18,"Buy"
"75","AIG",2022-03-24,"Sell"
"76","AIG",2022-03-23,"Sell"
"77","AIZ",2022-03-21,"Buy"
"78","AIZ",2022-03-18,"Buy"
"79","AIZ",2022-03-24,"Sell"
"80","AIZ",2022-03-22,"Buy"
"81","AJG",2022-03-18,"Buy"
"82","AJG",2022-03-22,"Sell"
"83","AJG",2022-03-23,"Sell"
"84","AJG",2022-03-21,"Buy"
"85","AKAM",2022-03-24,"Sell"
"86","AKAM",2022-03-22,"Buy"
"87","AKAM",2022-03-23,"Sell"
"88","AKAM",2022-03-18,"Buy"
"89","ALB",2022-03-24,"Sell"
"90","ALB",2022-03-18,"Buy"
"91","ALB",2022-03-21,"Sell"
"92","ALB",2022-03-23,"Sell"
"93","ALGN",2022-03-23,"Sell"
"94","ALGN",2022-03-18,"Buy"
"95","ALGN",2022-03-24,"Sell"
"96","ALGN",2022-03-21,"Buy"
"97","ALK",2022-03-23,"Sell"
"98","ALK",2022-03-22,"Buy"
"99","ALK",2022-03-24,"Sell"
"100","ALK",2022-03-18,"Sell"
"101","ALL",2022-03-21,"Buy"
"102","ALL",2022-03-18,"Buy"
"103","ALL",2022-03-24,"Sell"
"104","ALL",2022-03-23,"Buy"
"105","ALLE",2022-03-21,"Buy"
"106","ALLE",2022-03-23,"Sell"
"107","ALLE",2022-03-18,"Buy"
"108","ALLE",2022-03-24,"Sell"
"109","AMAT",2022-03-21,"Buy"
"110","AMAT",2022-03-23,"Sell"
"111","AMAT",2022-03-18,"Buy"
"112","AMAT",2022-03-24,"Sell"
"113","AMCR",2022-03-24,"Buy"
"114","AMCR",2022-03-21,"Buy"
"115","AMCR",2022-03-23,"Sell"
"116","AMCR",2022-03-18,"Sell"
"117","AMD",2022-03-24,"Sell"
"118","AMD",2022-03-21,"Buy"
"119","AMD",2022-03-23,"Sell"
"120","AMD",2022-03-18,"Buy"
"121","AME",2022-03-24,"Sell"
"122","AME",2022-03-21,"Buy"
"123","AME",2022-03-23,"Sell"
"124","AME",2022-03-18,"Buy"
"125","AMGN",2022-03-24,"Sell"
"126","AMGN",2022-03-21,"Buy"
"127","AMGN",2022-03-23,"Sell"
"128","AMGN",2022-03-18,"Sell"
"129","AMP",2022-03-22,"Sell"
"130","AMP",2022-03-21,"Buy"
"131","AMP",2022-03-23,"Sell"
"132","AMP",2022-03-24,"Buy"
"133","AMT",2022-03-18,"Buy"
"134","AMT",2022-03-24,"Sell"
"135","AMT",2022-03-21,"Buy"
"136","AMT",2022-03-23,"Sell"
"137","AMZN",2022-03-18,"Buy"
"138","AMZN",2022-03-22,"Sell"
"139","AMZN",2022-03-23,"Sell"
"140","AMZN",2022-03-24,"Sell"
"141","ANET",2022-03-24,"Sell"
"142","ANET",2022-03-18,"Buy"
"143","ANET",2022-03-21,"Sell"
"144","ANET",2022-03-23,"Sell"
"145","ANSS",2022-03-23,"Sell"
"146","ANSS",2022-03-18,"Buy"
"147","ANSS",2022-03-24,"Sell"
"148","ANSS",2022-03-21,"Buy"
"149","ANTM",2022-03-23,"Sell"
"150","ANTM",2022-03-22,"Buy"
"151","ANTM",2022-03-24,"Sell"
"152","ANTM",2022-03-18,"Buy"
"153","AON",2022-03-21,"Buy"
"154","AON",2022-03-18,"Buy"
"155","AON",2022-03-24,"Sell"
"156","AON",2022-03-23,"Buy"
"157","AOS",2022-03-23,"Sell"
"158","AOS",2022-03-22,"Buy"
"159","AOS",2022-03-24,"Sell"
"160","AOS",2022-03-21,"Buy"
"161","APA",2022-03-23,"Buy"
"162","APA",2022-03-18,"Sell"
"163","APA",2022-03-22,"Buy"
"164","APA",2022-03-21,"Sell"
"165","APD",2022-03-21,"Buy"
"166","APD",2022-03-22,"Sell"
"167","APD",2022-03-23,"Sell"
"168","APD",2022-03-18,"Sell"
"169","APH",2022-03-22,"Sell"
"170","APH",2022-03-24,"Sell"
"171","APH",2022-03-18,"Buy"
"172","APH",2022-03-23,"Sell"
"173","APTV",2022-03-21,"Buy"
"174","APTV",2022-03-18,"Sell"
"175","APTV",2022-03-23,"Buy"
"176","APTV",2022-03-24,"Buy"
"177","ARE",2022-03-22,"Sell"
"178","ARE",2022-03-23,"Sell"
"179","ARE",2022-03-18,"Buy"
"180","ARE",2022-03-24,"Sell"
"181","ATO",2022-03-22,"Sell"
"182","ATO",2022-03-21,"Sell"
"183","ATO",2022-03-24,"Buy"
"184","ATO",2022-03-23,"Sell"
"185","ATVI",2022-03-23,"Sell"
"186","ATVI",2022-03-21,"Buy"
"187","ATVI",2022-03-18,"Buy"
"188","ATVI",2022-03-22,"Sell"
"189","AVB",2022-03-22,"Sell"
