"","stock","date","action"
"695","EW",2022-03-22,"Sell"
"696","EW",2022-03-24,"Buy"
"697","EXC",2022-03-22,"Sell"
"698","EXC",2022-03-24,"Buy"
"699","EXC",2022-03-21,"Buy"
"700","EXC",2022-03-23,"Sell"
"701","EXPD",2022-03-22,"Sell"
"702","EXPD",2022-03-24,"Buy"
"703","EXPD",2022-03-21,"Buy"
"704","EXPD",2022-03-23,"Sell"
"705","EXPE",2022-03-18,"Buy"
"706","EXPE",2022-03-22,"Sell"
"707","EXPE",2022-03-24,"Buy"
"708","EXPE",2022-03-23,"Sell"
"709","EXR",2022-03-18,"Buy"
"710","EXR",2022-03-22,"Sell"
"711","EXR",2022-03-24,"Buy"
"712","EXR",2022-03-23,"Sell"
"713","F",2022-03-18,"Buy"
"714","F",2022-03-22,"Sell"
"715","F",2022-03-23,"Sell"
"716","F",2022-03-24,"Sell"
"717","FANG",2022-03-22,"Sell"
"718","FANG",2022-03-21,"Buy"
"719","FANG",2022-03-24,"Sell"
"720","FANG",2022-03-23,"Sell"
"721","FAST",2022-03-24,"Sell"
"722","FAST",2022-03-18,"Buy"
"723","FAST",2022-03-23,"Sell"
"724","FAST",2022-03-21,"Buy"
"725","FB",2022-03-18,"Sell"
"726","FB",2022-03-23,"Buy"
"727","FB",2022-03-21,"Buy"
"728","FB",2022-03-22,"Sell"
"729","FBHS",2022-03-24,"Sell"
"730","FBHS",2022-03-22,"Sell"
"731","FBHS",2022-03-23,"Sell"
"732","FBHS",2022-03-21,"Buy"
"733","FCX",2022-03-18,"Buy"
"734","FCX",2022-03-23,"Sell"
"735","FCX",2022-03-21,"Buy"
"736","FCX",2022-03-22,"Sell"
"737","FDS",2022-03-22,"Sell"
"738","FDS",2022-03-23,"Sell"
"739","FDS",2022-03-21,"Buy"
"740","FDS",2022-03-24,"Buy"
"741","FDX",2022-03-22,"Buy"
"742","FDX",2022-03-23,"Sell"
"743","FDX",2022-03-21,"Buy"
"744","FDX",2022-03-24,"Sell"
"745","FE",2022-03-22,"Sell"
"746","FE",2022-03-23,"Sell"
"747","FE",2022-03-21,"Buy"
"748","FE",2022-03-24,"Sell"
"749","FFIV",2022-03-21,"Buy"
"750","FFIV",2022-03-18,"Buy"
"751","FFIV",2022-03-23,"Sell"
"752","FFIV",2022-03-24,"Sell"
"753","FIS",2022-03-24,"Sell"
"754","FIS",2022-03-22,"Buy"
"755","FIS",2022-03-18,"Sell"
"756","FIS",2022-03-21,"Buy"
"757","FISV",2022-03-23,"Buy"
"758","FISV",2022-03-21,"Buy"
"759","FISV",2022-03-22,"Sell"
"760","FISV",2022-03-24,"Sell"
"761","FITB",2022-03-21,"Sell"
"762","FITB",2022-03-22,"Sell"
"763","FITB",2022-03-23,"Sell"
"764","FITB",2022-03-24,"Buy"
"765","FLT",2022-03-22,"Buy"
"766","FLT",2022-03-23,"Buy"
"767","FLT",2022-03-24,"Buy"
"768","FLT",2022-03-21,"Buy"
"769","FMC",2022-03-21,"Sell"
"770","FMC",2022-03-22,"Sell"
"771","FMC",2022-03-23,"Buy"
"772","FMC",2022-03-24,"Buy"
"773","FOX",2022-03-22,"Buy"
"774","FOX",2022-03-23,"Sell"
"775","FOX",2022-03-21,"Buy"
"776","FOX",2022-03-24,"Sell"
"777","FOXA",2022-03-18,"Buy"
"778","FOXA",2022-03-23,"Sell"
"779","FOXA",2022-03-24,"Sell"
"780","FOXA",2022-03-21,"Buy"
"781","FRC",2022-03-18,"Buy"
"782","FRC",2022-03-23,"Sell"
"783","FRC",2022-03-24,"Buy"
"784","FRC",2022-03-21,"Buy"
"785","FRT",2022-03-18,"Sell"
"786","FRT",2022-03-23,"Buy"
"787","FRT",2022-03-24,"Buy"
"788","FRT",2022-03-22,"Sell"
"789","FTNT",2022-03-22,"Sell"
"790","FTNT",2022-03-23,"Sell"
"791","FTNT",2022-03-21,"Buy"
"792","FTNT",2022-03-24,"Sell"
"793","FTV",2022-03-22,"Buy"
"794","FTV",2022-03-23,"Buy"
"795","FTV",2022-03-21,"Sell"
"796","FTV",2022-03-24,"Buy"
"797","GD",2022-03-22,"Sell"
"798","GD",2022-03-23,"Sell"
"799","GD",2022-03-21,"Sell"
"800","GD",2022-03-24,"Buy"
"801","GE",2022-03-24,"Sell"
"802","GE",2022-03-23,"Sell"
"803","GE",2022-03-21,"Sell"
"804","GE",2022-03-18,"Sell"
"805","GILD",2022-03-21,"Sell"
"806","GILD",2022-03-24,"Buy"
"807","GILD",2022-03-23,"Sell"
"808","GILD",2022-03-18,"Sell"
"809","GIS",2022-03-21,"Buy"
"810","GIS",2022-03-24,"Sell"
"811","GIS",2022-03-22,"Buy"
"812","GIS",2022-03-18,"Buy"
"813","GL",2022-03-21,"Buy"
"814","GL",2022-03-24,"Sell"
"815","GL",2022-03-18,"Buy"
"816","GL",2022-03-23,"Sell"
"817","GLW",2022-03-22,"Sell"
"818","GLW",2022-03-18,"Buy"
"819","GLW",2022-03-24,"Sell"
"820","GLW",2022-03-23,"Sell"
"821","GM",2022-03-21,"Buy"
"822","GM",2022-03-24,"Sell"
"823","GM",2022-03-18,"Sell"
"824","GM",2022-03-23,"Buy"
"825","GNRC",2022-03-18,"Buy"
"826","GNRC",2022-03-22,"Sell"
"827","GNRC",2022-03-24,"Buy"
"828","GNRC",2022-03-23,"Sell"
"829","GOOG",2022-03-22,"Buy"
"830","GOOG",2022-03-24,"Sell"
"831","GOOG",2022-03-23,"Sell"
"832","GOOG",2022-03-18,"Buy"
"833","GOOGL",2022-03-21,"Sell"
"834","GOOGL",2022-03-24,"Buy"
"835","GOOGL",2022-03-23,"Sell"
"836","GOOGL",2022-03-18,"Buy"
"837","GPC",2022-03-18,"Buy"
"838","GPC",2022-03-22,"Sell"
"839","GPC",2022-03-24,"Buy"
"840","GPC",2022-03-23,"Sell"
"841","GPN",2022-03-18,"Sell"
"842","GPN",2022-03-21,"Buy"
"843","GPN",2022-03-24,"Sell"
"844","GPN",2022-03-23,"Sell"
"845","GRMN",2022-03-18,"Buy"
"846","GRMN",2022-03-23,"Sell"
"847","GRMN",2022-03-22,"Sell"
"848","GRMN",2022-03-24,"Buy"
"849","GS",2022-03-18,"Buy"
"850","GS",2022-03-21,"Sell"
"851","GS",2022-03-22,"Sell"
"852","GS",2022-03-23,"Sell"
"853","GWW",2022-03-24,"Sell"
"854","GWW",2022-03-18,"Buy"
"855","GWW",2022-03-21,"Sell"
"856","GWW",2022-03-23,"Sell"
"857","HAL",2022-03-24,"Sell"
"858","HAL",2022-03-18,"Sell"
"859","HAL",2022-03-21,"Buy"
"860","HAL",2022-03-23,"Buy"
"861","HAS",2022-03-24,"Sell"
"862","HAS",2022-03-18,"Sell"
"863","HAS",2022-03-21,"Buy"
"864","HAS",2022-03-23,"Sell"
"865","HBAN",2022-03-21,"Buy"
"866","HBAN",2022-03-24,"Sell"
"867","HBAN",2022-03-18,"Buy"
"868","HBAN",2022-03-23,"Sell"
"869","HCA",2022-03-24,"Buy"
"870","HCA",2022-03-18,"Buy"
"871","HCA",2022-03-21,"Sell"
"872","HCA",2022-03-23,"Sell"
"873","HD",2022-03-21,"Buy"
"874","HD",2022-03-18,"Buy"
"875","HD",2022-03-24,"Sell"
"876","HD",2022-03-23,"Sell"
"877","HES",2022-03-22,"Sell"
"878","HES",2022-03-24,"Buy"
"879","HES",2022-03-18,"Buy"
"880","HES",2022-03-23,"Sell"
"881","HIG",2022-03-22,"Buy"
"882","HIG",2022-03-24,"Buy"
"883","HIG",2022-03-18,"Buy"
"884","HIG",2022-03-23,"Sell"
"885","HII",2022-03-22,"Sell"
"886","HII",2022-03-21,"Sell"
"887","HII",2022-03-18,"Sell"
"888","HII",2022-03-24,"Buy"
"889","HLT",2022-03-23,"Buy"
"890","HLT",2022-03-24,"Buy"
"891","HLT",2022-03-18,"Buy"
"892","HLT",2022-03-21,"Sell"
"893","HOLX",2022-03-23,"Sell"
"894","HOLX",2022-03-24,"Buy"
"895","HOLX",2022-03-18,"Buy"
"896","HOLX",2022-03-22,"Sell"
"897","HON",2022-03-24,"Sell"
"898","HON",2022-03-23,"Sell"
"899","HON",2022-03-22,"Buy"
"900","HON",2022-03-21,"Buy"
"901","HPE",2022-03-23,"Sell"
"902","HPE",2022-03-22,"Buy"
"903","HPE",2022-03-24,"Sell"
"904","HPE",2022-03-21,"Buy"
"905","HPQ",2022-03-21,"Buy"
"906","HPQ",2022-03-18,"Buy"
"907","HPQ",2022-03-24,"Sell"
"908","HPQ",2022-03-22,"Sell"
"909","HRL",2022-03-18,"Buy"
"910","HRL",2022-03-21,"Sell"
"911","HRL",2022-03-22,"Sell"
"912","HRL",2022-03-24,"Sell"
"913","HSIC",2022-03-21,"Sell"
"914","HSIC",2022-03-23,"Sell"
"915","HSIC",2022-03-22,"Buy"
"916","HSIC",2022-03-24,"Buy"
"917","HST",2022-03-18,"Sell"
"918","HST",2022-03-21,"Buy"
"919","HST",2022-03-22,"Buy"
"920","HST",2022-03-24,"Sell"
"921","HSY",2022-03-18,"Buy"
"922","HSY",2022-03-24,"Sell"
"923","HSY",2022-03-23,"Sell"
"924","HSY",2022-03-22,"Buy"
"925","HUM",2022-03-18,"Buy"
"926","HUM",2022-03-24,"Sell"
"927","HUM",2022-03-21,"Sell"
"928","HUM",2022-03-22,"Buy"
"929","HWM",2022-03-18,"Buy"
"930","HWM",2022-03-24,"Sell"
"931","HWM",2022-03-21,"Sell"
"932","HWM",2022-03-22,"Sell"
"933","IBM",2022-03-18,"Sell"
"934","IBM",2022-03-24,"Buy"
"935","IBM",2022-03-21,"Buy"
"936","IBM",2022-03-22,"Sell"
"937","ICE",2022-03-22,"Sell"
"938","ICE",2022-03-18,"Buy"
"939","ICE",2022-03-23,"Sell"
"940","ICE",2022-03-24,"Buy"
"941","IDXX",2022-03-23,"Sell"
"942","IDXX",2022-03-22,"Buy"
"943","IDXX",2022-03-24,"Buy"
"944","IDXX",2022-03-21,"Buy"
"945","IEX",2022-03-23,"Sell"
"946","IEX",2022-03-22,"Buy"
"947","IEX",2022-03-18,"Buy"
"948","IEX",2022-03-24,"Sell"
"949","IFF",2022-03-24,"Buy"
"950","IFF",2022-03-23,"Sell"
"951","IFF",2022-03-22,"Buy"
"952","IFF",2022-03-21,"Buy"
"953","ILMN",2022-03-23,"Buy"
"954","ILMN",2022-03-22,"Buy"
"955","ILMN",2022-03-24,"Sell"
"956","ILMN",2022-03-21,"Buy"
"957","INCY",2022-03-21,"Sell"
"958","INCY",2022-03-18,"Sell"
"959","INCY",2022-03-24,"Buy"
"960","INCY",2022-03-22,"Sell"
"961","INTC",2022-03-24,"Sell"
"962","INTC",2022-03-18,"Sell"
"963","INTC",2022-03-22,"Buy"
"964","INTC",2022-03-21,"Buy"
"965","INTU",2022-03-21,"Sell"
"966","INTU",2022-03-23,"Sell"
"967","INTU",2022-03-18,"Buy"
"968","INTU",2022-03-24,"Sell"
"969","IP",2022-03-22,"Sell"
"970","IP",2022-03-21,"Sell"
"971","IP",2022-03-18,"Sell"
"972","IP",2022-03-23,"Buy"
"973","IPG",2022-03-21,"Sell"
"974","IPG",2022-03-23,"Sell"
"975","IPG",2022-03-24,"Buy"
"976","IPG",2022-03-22,"Sell"
"977","IPGP",2022-03-24,"Sell"
"978","IPGP",2022-03-23,"Buy"
"979","IPGP",2022-03-18,"Sell"
"980","IPGP",2022-03-21,"Buy"
"981","IQV",2022-03-22,"Sell"
"982","IQV",2022-03-23,"Sell"
"983","IQV",2022-03-24,"Buy"
"984","IQV",2022-03-21,"Buy"
"985","IR",2022-03-18,"Buy"
"986","IR",2022-03-21,"Sell"
"987","IR",2022-03-22,"Sell"
"988","IR",2022-03-24,"Buy"
"989","IRM",2022-03-24,"Buy"
"990","IRM",2022-03-21,"Sell"
"991","IRM",2022-03-18,"Buy"
"992","IRM",2022-03-22,"Sell"
"993","ISRG",2022-03-22,"Sell"
"994","ISRG",2022-03-21,"Buy"
"995","ISRG",2022-03-23,"Sell"
"996","ISRG",2022-03-24,"Buy"
"997","IT",2022-03-18,"Buy"
"998","IT",2022-03-24,"Sell"
"999","IT",2022-03-21,"Buy"
"1000","IT",2022-03-22,"Sell"
"1001","ITW",2022-03-18,"Buy"
"1002","ITW",2022-03-22,"Sell"
"1003","ITW",2022-03-24,"Buy"
"1004","ITW",2022-03-23,"Sell"
"1005","IVZ",2022-03-18,"Sell"
"1006","IVZ",2022-03-22,"Buy"
"1007","IVZ",2022-03-24,"Buy"
"1008","IVZ",2022-03-21,"Sell"
"1009","J",2022-03-18,"Buy"
"1010","J",2022-03-22,"Sell"
"1011","J",2022-03-24,"Buy"
"1012","J",2022-03-21,"Buy"
"1013","JBHT",2022-03-18,"Buy"
"1014","JBHT",2022-03-22,"Sell"
"1015","JBHT",2022-03-24,"Sell"
"1016","JBHT",2022-03-21,"Buy"
"1017","JCI",2022-03-18,"Buy"
"1018","JCI",2022-03-22,"Sell"
"1019","JCI",2022-03-24,"Buy"
"1020","JCI",2022-03-23,"Sell"
"1021","JKHY",2022-03-23,"Buy"
"1022","JKHY",2022-03-18,"Buy"
"1023","JKHY",2022-03-24,"Sell"
"1024","JKHY",2022-03-21,"Sell"
"1025","JNJ",2022-03-21,"Sell"
"1026","JNJ",2022-03-23,"Sell"
"1027","JNJ",2022-03-22,"Sell"
"1028","JNJ",2022-03-24,"Buy"
"1029","JNPR",2022-03-24,"Buy"
"1030","JNPR",2022-03-23,"Sell"
"1031","JNPR",2022-03-18,"Buy"
"1032","JNPR",2022-03-21,"Sell"
"1033","JPM",2022-03-22,"Sell"
"1034","JPM",2022-03-23,"Sell"
"1035","JPM",2022-03-24,"Buy"
"1036","JPM",2022-03-21,"Buy"
"1037","K",2022-03-18,"Sell"
"1038","K",2022-03-21,"Buy"
"1039","K",2022-03-22,"Buy"
"1040","K",2022-03-24,"Sell"
"1041","KEY",2022-03-24,"Buy"
"1042","KEY",2022-03-21,"Buy"
"1043","KEY",2022-03-18,"Buy"
"1044","KEY",2022-03-22,"Sell"
"1045","KEYS",2022-03-18,"Buy"
"1046","KEYS",2022-03-21,"Sell"
"1047","KEYS",2022-03-23,"Sell"
"1048","KEYS",2022-03-24,"Buy"
"1049","KHC",2022-03-24,"Buy"
"1050","KHC",2022-03-23,"Buy"
"1051","KHC",2022-03-22,"Sell"
"1052","KHC",2022-03-18,"Sell"
"1053","KIM",2022-03-24,"Buy"
"1054","KIM",2022-03-21,"Buy"
"1055","KIM",2022-03-23,"Sell"
"1056","KIM",2022-03-22,"Buy"
"1057","KLAC",2022-03-22,"Sell"
"1058","KLAC",2022-03-24,"Buy"
"1059","KLAC",2022-03-18,"Buy"
"1060","KLAC",2022-03-21,"Sell"
"1061","KMB",2022-03-18,"Sell"
"1062","KMB",2022-03-24,"Buy"
"1063","KMB",2022-03-23,"Buy"
"1064","KMB",2022-03-21,"Sell"
"1065","KMI",2022-03-18,"Sell"
"1066","KMI",2022-03-22,"Buy"
"1067","KMI",2022-03-21,"Sell"
"1068","KMI",2022-03-24,"Buy"
"1069","KMX",2022-03-22,"Buy"
"1070","KMX",2022-03-21,"Buy"
"1071","KMX",2022-03-18,"Buy"
"1072","KMX",2022-03-24,"Sell"
"1073","KO",2022-03-24,"Sell"
"1074","KO",2022-03-22,"Sell"
"1075","KO",2022-03-21,"Buy"
"1076","KO",2022-03-23,"Sell"
"1077","KR",2022-03-18,"Buy"
"1078","KR",2022-03-22,"Sell"
"1079","KR",2022-03-21,"Buy"
"1080","KR",2022-03-24,"Sell"
"1081","L",2022-03-21,"Sell"
"1082","L",2022-03-24,"Sell"
"1083","L",2022-03-22,"Buy"
"1084","L",2022-03-23,"Sell"
"1085","LDOS",2022-03-23,"Sell"
"1086","LDOS",2022-03-18,"Buy"
"1087","LDOS",2022-03-24,"Sell"
"1088","LDOS",2022-03-21,"Buy"
"1089","LEN",2022-03-23,"Buy"
"1090","LEN",2022-03-18,"Buy"
"1091","LEN",2022-03-24,"Sell"
"1092","LEN",2022-03-21,"Buy"
"1093","LH",2022-03-23,"Buy"
"1094","LH",2022-03-18,"Buy"
"1095","LH",2022-03-24,"Sell"
"1096","LH",2022-03-21,"Buy"
"1097","LHX",2022-03-21,"Buy"
"1098","LHX",2022-03-18,"Buy"
"1099","LHX",2022-03-24,"Sell"
"1100","LHX",2022-03-23,"Sell"
"1101","LIN",2022-03-22,"Sell"
"1102","LIN",2022-03-23,"Buy"
"1103","LIN",2022-03-24,"Buy"
"1104","LIN",2022-03-21,"Buy"
"1105","LKQ",2022-03-22,"Sell"
"1106","LKQ",2022-03-21,"Buy"
"1107","LKQ",2022-03-23,"Sell"
"1108","LKQ",2022-03-24,"Buy"
"1109","LLY",2022-03-22,"Sell"
"1110","LLY",2022-03-23,"Sell"
"1111","LLY",2022-03-24,"Buy"
"1112","LLY",2022-03-21,"Buy"
"1113","LMT",2022-03-18,"Buy"
"1114","LMT",2022-03-24,"Sell"
"1115","LMT",2022-03-23,"Sell"
"1116","LMT",2022-03-21,"Buy"
"1117","LNC",2022-03-18,"Sell"
"1118","LNC",2022-03-22,"Buy"
"1119","LNC",2022-03-21,"Sell"
"1120","LNC",2022-03-24,"Buy"
"1121","LNT",2022-03-22,"Sell"
"1122","LNT",2022-03-21,"Buy"
"1123","LNT",2022-03-18,"Buy"
"1124","LNT",2022-03-24,"Sell"
"1125","LOW",2022-03-24,"Buy"
"1126","LOW",2022-03-18,"Buy"
"1127","LOW",2022-03-21,"Sell"
"1128","LOW",2022-03-23,"Sell"
"1129","LRCX",2022-03-24,"Buy"
"1130","LRCX",2022-03-18,"Buy"
"1131","LRCX",2022-03-21,"Sell"
"1132","LRCX",2022-03-22,"Sell"
"1133","LUMN",2022-03-24,"Buy"
"1134","LUMN",2022-03-23,"Buy"
"1135","LUMN",2022-03-22,"Buy"
"1136","LUMN",2022-03-21,"Buy"
"1137","LUV",2022-03-24,"Buy"
"1138","LUV",2022-03-18,"Sell"
"1139","LUV",2022-03-22,"Buy"
"1140","LUV",2022-03-23,"Sell"
"1141","LVS",2022-03-24,"Sell"
"1142","LVS",2022-03-18,"Sell"
"1143","LVS",2022-03-22,"Buy"
"1144","LVS",2022-03-23,"Sell"
"1145","LW",2022-03-18,"Sell"
"1146","LW",2022-03-24,"Buy"
"1147","LW",2022-03-23,"Buy"
"1148","LW",2022-03-22,"Buy"
"1149","LYB",2022-03-23,"Sell"
"1150","LYB",2022-03-24,"Sell"
"1151","LYB",2022-03-18,"Sell"
"1152","LYB",2022-03-22,"Buy"
"1153","LYV",2022-03-24,"Buy"
"1154","LYV",2022-03-18,"Buy"
"1155","LYV",2022-03-23,"Sell"
"1156","LYV",2022-03-22,"Buy"
"1157","MA",2022-03-23,"Buy"
"1158","MA",2022-03-24,"Buy"
"1159","MA",2022-03-18,"Buy"
"1160","MA",2022-03-22,"Sell"
"1161","MAA",2022-03-23,"Sell"
"1162","MAA",2022-03-24,"Buy"
"1163","MAA",2022-03-18,"Buy"
"1164","MAA",2022-03-22,"Sell"
"1165","MAR",2022-03-23,"Sell"
"1166","MAR",2022-03-24,"Buy"
"1167","MAR",2022-03-18,"Buy"
"1168","MAR",2022-03-22,"Sell"
"1169","MAS",2022-03-22,"Sell"
"1170","MAS",2022-03-23,"Sell"
"1171","MAS",2022-03-24,"Buy"
"1172","MAS",2022-03-18,"Buy"
"1173","MCD",2022-03-22,"Sell"
"1174","MCD",2022-03-21,"Buy"
"1175","MCD",2022-03-24,"Sell"
"1176","MCD",2022-03-23,"Sell"
"1177","MCHP",2022-03-18,"Buy"
"1178","MCHP",2022-03-23,"Sell"
"1179","MCHP",2022-03-24,"Buy"
"1180","MCHP",2022-03-22,"Sell"
"1181","MCK",2022-03-18,"Buy"
"1182","MCK",2022-03-22,"Sell"
"1183","MCK",2022-03-24,"Sell"
"1184","MCK",2022-03-23,"Sell"
"1185","MCO",2022-03-21,"Sell"
"1186","MCO",2022-03-18,"Buy"
"1187","MCO",2022-03-23,"Sell"
"1188","MCO",2022-03-22,"Sell"
"1189","MDLZ",2022-03-21,"Buy"
"1190","MDLZ",2022-03-18,"Buy"
"1191","MDLZ",2022-03-22,"Sell"
"1192","MDLZ",2022-03-23,"Sell"
"1193","MDT",2022-03-18,"Sell"
"1194","MDT",2022-03-22,"Buy"
"1195","MDT",2022-03-24,"Sell"
"1196","MDT",2022-03-23,"Sell"
"1197","MET",2022-03-24,"Sell"
"1198","MET",2022-03-18,"Buy"
"1199","MET",2022-03-23,"Sell"
"1200","MET",2022-03-22,"Sell"
"1201","MGM",2022-03-18,"Buy"
"1202","MGM",2022-03-24,"Sell"
"1203","MGM",2022-03-22,"Buy"
"1204","MGM",2022-03-23,"Sell"
"1205","MHK",2022-03-24,"Buy"
"1206","MHK",2022-03-18,"Sell"
"1207","MHK",2022-03-23,"Buy"
"1208","MHK",2022-03-22,"Sell"
"1209","MKC",2022-03-22,"Sell"
"1210","MKC",2022-03-18,"Buy"
"1211","MKC",2022-03-23,"Sell"
"1212","MKC",2022-03-21,"Buy"
"1213","MKTX",2022-03-21,"Buy"
"1214","MKTX",2022-03-18,"Sell"
"1215","MKTX",2022-03-23,"Buy"
"1216","MKTX",2022-03-22,"Buy"
"1217","MLM",2022-03-23,"Sell"
"1218","MLM",2022-03-21,"Buy"
"1219","MLM",2022-03-18,"Buy"
"1220","MLM",2022-03-22,"Sell"
"1221","MMC",2022-03-23,"Sell"
"1222","MMC",2022-03-21,"Buy"
"1223","MMC",2022-03-22,"Sell"
"1224","MMC",2022-03-24,"Buy"
"1225","MMM",2022-03-23,"Buy"
"1226","MMM",2022-03-21,"Sell"
"1227","MMM",2022-03-22,"Buy"
"1228","MMM",2022-03-24,"Buy"
"1229","MNST",2022-03-23,"Sell"
"1230","MNST",2022-03-21,"Buy"
"1231","MNST",2022-03-22,"Sell"
"1232","MNST",2022-03-24,"Sell"
"1233","MO",2022-03-18,"Sell"
"1234","MO",2022-03-21,"Buy"
"1235","MO",2022-03-24,"Buy"
"1236","MO",2022-03-23,"Buy"
"1237","MOH",2022-03-18,"Buy"
"1238","MOH",2022-03-21,"Sell"
"1239","MOH",2022-03-24,"Sell"
"1240","MOH",2022-03-22,"Sell"
"1241","MOS",2022-03-18,"Buy"
"1242","MOS",2022-03-21,"Sell"
"1243","MOS",2022-03-24,"Sell"
"1244","MOS",2022-03-22,"Sell"
"1245","MPC",2022-03-23,"Sell"
"1246","MPC",2022-03-21,"Buy"
"1247","MPC",2022-03-22,"Sell"
"1248","MPC",2022-03-24,"Buy"
"1249","MPWR",2022-03-21,"Sell"
"1250","MPWR",2022-03-22,"Buy"
"1251","MPWR",2022-03-23,"Sell"
"1252","MPWR",2022-03-24,"Buy"
"1253","MRK",2022-03-18,"Buy"
"1254","MRK",2022-03-21,"Sell"
"1255","MRK",2022-03-22,"Sell"
"1256","MRK",2022-03-24,"Buy"
"1257","MRNA",2022-03-21,"Buy"
"1258","MRNA",2022-03-22,"Sell"
"1259","MRNA",2022-03-23,"Sell"
"1260","MRNA",2022-03-24,"Buy"
"1261","MRO",2022-03-22,"Buy"
"1262","MRO",2022-03-23,"Sell"
"1263","MRO",2022-03-21,"Sell"
"1264","MRO",2022-03-24,"Sell"
"1265","MS",2022-03-24,"Buy"
"1266","MS",2022-03-22,"Sell"
"1267","MS",2022-03-18,"Buy"
"1268","MS",2022-03-21,"Sell"
"1269","MSCI",2022-03-21,"Sell"
"1270","MSCI",2022-03-24,"Sell"
"1271","MSCI",2022-03-23,"Sell"
"1272","MSCI",2022-03-22,"Buy"
"1273","MSFT",2022-03-23,"Sell"
"1274","MSFT",2022-03-21,"Buy"
"1275","MSFT",2022-03-22,"Sell"
"1276","MSFT",2022-03-24,"Buy"
"1277","MSI",2022-03-23,"Sell"
"1278","MSI",2022-03-21,"Buy"
"1279","MSI",2022-03-22,"Sell"
"1280","MSI",2022-03-24,"Buy"
"1281","MTB",2022-03-23,"Sell"
"1282","MTB",2022-03-21,"Buy"
"1283","MTB",2022-03-22,"Sell"
"1284","MTB",2022-03-24,"Buy"
"1285","MTCH",2022-03-23,"Sell"
"1286","MTCH",2022-03-21,"Buy"
"1287","MTCH",2022-03-24,"Sell"
"1288","MTCH",2022-03-18,"Buy"
"1289","MTD",2022-03-21,"Sell"
"1290","MTD",2022-03-22,"Buy"
"1291","MTD",2022-03-18,"Buy"
"1292","MTD",2022-03-24,"Sell"
"1293","MU",2022-03-23,"Buy"
"1294","MU",2022-03-21,"Buy"
"1295","MU",2022-03-24,"Sell"
"1296","MU",2022-03-18,"Buy"
"1297","NCLH",2022-03-21,"Sell"
"1298","NCLH",2022-03-24,"Sell"
"1299","NCLH",2022-03-18,"Sell"
"1300","NCLH",2022-03-22,"Buy"
"1301","NDAQ",2022-03-18,"Buy"
"1302","NDAQ",2022-03-23,"Sell"
"1303","NDAQ",2022-03-22,"Buy"
"1304","NDAQ",2022-03-24,"Buy"
"1305","NDSN",2022-03-21,"Sell"
"1306","NDSN",2022-03-22,"Sell"
"1307","NDSN",2022-03-24,"Buy"
"1308","NDSN",2022-03-23,"Sell"
"1309","NEE",2022-03-18,"Buy"
"1310","NEE",2022-03-22,"Sell"
"1311","NEE",2022-03-24,"Buy"
"1312","NEE",2022-03-23,"Sell"
"1313","NEM",2022-03-18,"Buy"
"1314","NEM",2022-03-22,"Sell"
"1315","NEM",2022-03-24,"Buy"
"1316","NEM",2022-03-23,"Sell"
"1317","NFLX",2022-03-23,"Sell"
"1318","NFLX",2022-03-18,"Sell"
"1319","NFLX",2022-03-22,"Buy"
"1320","NFLX",2022-03-24,"Sell"
"1321","NI",2022-03-23,"Sell"
"1322","NI",2022-03-18,"Buy"
"1323","NI",2022-03-22,"Sell"
"1324","NI",2022-03-24,"Sell"
"1325","NKE",2022-03-22,"Sell"
"1326","NKE",2022-03-23,"Sell"
"1327","NKE",2022-03-21,"Buy"
"1328","NKE",2022-03-24,"Sell"
"1329","NLOK",2022-03-18,"Sell"
"1330","NLOK",2022-03-23,"Buy"
"1331","NLOK",2022-03-22,"Buy"
"1332","NLOK",2022-03-24,"Sell"
"1333","NLSN",2022-03-23,"Buy"
"1334","NLSN",2022-03-18,"Sell"
"1335","NLSN",2022-03-22,"Buy"
"1336","NLSN",2022-03-24,"Sell"
"1337","NOC",2022-03-21,"Sell"
"1338","NOC",2022-03-24,"Buy"
"1339","NOC",2022-03-23,"Sell"
"1340","NOC",2022-03-22,"Buy"
"1341","NOW",2022-03-22,"Sell"
"1342","NOW",2022-03-24,"Buy"
"1343","NOW",2022-03-23,"Sell"
"1344","NOW",2022-03-21,"Buy"
"1345","NRG",2022-03-22,"Buy"
"1346","NRG",2022-03-24,"Sell"
"1347","NRG",2022-03-18,"Sell"
"1348","NRG",2022-03-23,"Buy"
"1349","NSC",2022-03-18,"Buy"
"1350","NSC",2022-03-21,"Sell"
"1351","NSC",2022-03-23,"Sell"
"1352","NSC",2022-03-24,"Buy"
"1353","NTAP",2022-03-18,"Buy"
"1354","NTAP",2022-03-23,"Sell"
"1355","NTAP",2022-03-22,"Buy"
"1356","NTAP",2022-03-24,"Sell"
"1357","NTRS",2022-03-21,"Sell"
"1358","NTRS",2022-03-22,"Sell"
"1359","NTRS",2022-03-24,"Buy"
"1360","NTRS",2022-03-23,"Sell"
"1361","NUE",2022-03-23,"Sell"
"1362","NUE",2022-03-18,"Buy"
"1363","NUE",2022-03-22,"Sell"
"1364","NUE",2022-03-24,"Sell"
"1365","NVDA",2022-03-21,"Sell"
"1366","NVDA",2022-03-22,"Sell"
"1367","NVDA",2022-03-18,"Buy"
"1368","NVDA",2022-03-23,"Sell"
"1369","NVR",2022-03-23,"Buy"
"1370","NVR",2022-03-22,"Sell"
"1371","NVR",2022-03-24,"Buy"
