stock,tradeNumber,buyDate,buyPrice,stopLoss,profitTarget,sellDate,sellPrice,daysTraded,returnsPerShare,isProfitable,Open,High,Low,Close,Adj Close,Volume,EMA10,EMA50,EMA200,shortEMA,longEMA,MACD,signal,hist,histPast,EMA10Percent,EMA50Percent,EMA200Percent
PKG,5.0,2021-12-06,135.17742919921875,129.4499969482422,149.49600982666016,2021-12-09,128.25926208496094,3,-6.9181671142578125,False,134.6699981689453,136.82000732421875,134.39999389648438,136.19000244140625,135.17742919921875,920900.0,132.25128403052605,134.90805951086296,134.8593553695925,132.30435491341754,133.17117365223504,-0.8668187388174999,-1.1406226432908464,0.27380390447334646,-0.01962181852256495,0.9783533006506562,0.998007287977353,0.9976469900965679
PKI,1.0,2021-10-19,171.5519561767578,164.27499389648438,194.9909439086914,2021-11-16,187.50999450683594,20,15.958038330078125,True,171.6199951171875,173.57000732421875,171.1199951171875,171.6199951171875,171.5519561767578,514000.0,170.571567762979,174.76720591887195,156.51717735143004,171.010443759112,174.16977296770165,-3.1593292085896394,-3.2953928451363454,0.13606363654670606,-0.13780260080046647,0.9942851807952066,1.0187421339503777,0.9123602017697965
PLD,1.0,2021-03-15,100.75473022460938,94.13999938964844,117.29155731201172,2021-06-01,118.1980972290039,54,17.44336700439453,True,101.23999786376953,103.01000213623047,100.41999816894531,102.77999877929688,100.75473022460938,2979200.0,97.90649397393982,99.08285486027324,97.36643713410993,98.0003073959097,98.88581610382722,-0.8855087079175235,-1.0795347700343245,0.19402606211680107,-0.10875844336409712,0.9717309922390733,0.9834064826474244,0.96637087824119
PLD,2.0,2021-10-08,128.02098083496094,121.61993179321288,144.02360343933105,2021-10-21,144.36599731445312,9,16.345016479492188,True,128.9600067138672,129.24000549316406,128.3000030517578,128.52999877929688,128.02098083496094,1403400.0,127.37135934458604,128.36373140428367,117.776849218703,127.50549833068717,128.54604197511262,-1.0405436444254406,-1.146046589854019,0.10550294542857852,-0.00385030111254836,0.9949256638549554,1.0026772999791698,0.9199808379107467
PM,1.0,2021-10-14,97.52194213867188,94.37000274658203,105.40179061889648,2021-10-27,93.59542083740234,9,-3.9265213012695312,False,98.31999969482422,99.36000061035156,97.79000091552734,98.8499984741211,97.52194213867188,4477800.0,95.70673479304007,97.25297129519907,91.05314818066806,95.8328235054661,96.81752850113624,-0.9847049956701426,-1.07897087068859,0.09426587501844752,-0.13292704398878663,0.9813866776458301,0.9972419453758382,0.9336683230856346
PM,2.0,2021-10-28,94.6806411743164,94.7300033569336,94.55723571777344,2021-10-29,93.26985168457031,1,-1.4107894897460938,False,94.44999694824219,96.0199966430664,94.44999694824219,95.97000122070312,94.6806411743164,4754500.0,95.022697913005,96.5721850163867,91.45202622708896,95.13059772448204,95.90656381437381,-0.7759660898917673,-0.7836522482102629,0.007686158318495617,-0.0066558314581606215,1.0036127421027794,1.0199781477882872,0.9658999463123276
PM,3.0,2021-11-11,93.72367095947266,92.58000183105469,96.58284378051758,2021-11-16,91.81959533691406,3,-1.9040756225585938,False,94.6500015258789,95.16999816894531,94.41000366210938,95.0,93.72367095947266,3580700.0,93.17170878288121,95.33274252437928,91.58081413961798,93.29169046490647,94.25240021181519,-0.9607097469087194,-1.035634092136084,0.07492434522736469,-0.027184816756143704,0.9941107494943286,1.0171682516106568,0.977136439515037
PNC,1.0,2021-06-25,190.88668823242188,179.68499755859375,216.38583755493164,2021-07-19,176.6984405517578,15,-14.188247680664062,False,190.02999877929688,193.66000366210938,188.89999389648438,193.36000061035156,190.88668823242188,1814700.0,185.38914192168664,184.66959252020007,159.11363752075977,185.54162041284283,186.4856456950632,-0.9440252822203661,-0.984871121631329,0.04084583941096287,-0.5686898103983256,0.9711999492387784,0.9674304386031785,0.8335502019241093
PNC,2.0,2021-07-29,184.01284790039062,176.42999267578125,205.0221824645996,2021-10-19,206.8300018310547,57,22.817153930664062,True,185.6699981689453,186.13999938964844,183.47999572753906,185.16000366210938,184.01284790039062,825300.0,183.12486055079694,184.45997079590143,164.3787574860724,183.2667902273255,184.32332097822626,-1.0565307509007766,-1.1177262405527018,0.06119548965192512,-0.08399033381014931,0.9951743187515125,1.002429846071144,0.8933004372338909
PNC,3.0,2021-12-10,201.55999755859375,199.75,206.08499145507812,2021-12-13,196.2100067138672,1,-5.3499908447265625,False,203.97000122070312,204.83999633789062,199.60000610351562,201.55999755859375,201.55999755859375,1237600.0,201.24838709595699,201.80746139435914,185.53708886441277,201.41272397349996,202.52102485629987,-1.1083008827999095,-1.139456027457941,0.031155144658031597,-0.06471526846556341,0.9984540064178847,1.0012277427999743,0.9205055125607297
