date,stock,numberOfShares,action
2014-04-21,NKE,0.0,sell
2014-04-21,OMC,0.0,sell
2014-04-21,SPGI,0.0,sell
2014-04-21,SEE,0.0,sell
2014-04-21,WST,0.0,sell
2014-04-22,AAP,51.0,buy
2014-04-22,AAPL,15.0,buy
2014-04-22,CAH,0.0,buy
2014-04-22,CCL,0.0,buy
2014-04-22,CNC,0.0,buy
2014-04-22,ETN,0.0,buy
2014-04-22,ENPH,1.0,buy
2014-04-22,IT,0.0,buy
2014-04-22,ILMN,0.0,buy
2014-04-22,INCY,0.0,buy
2014-04-22,JNPR,0.0,buy
2014-04-22,LHX,0.0,buy
2014-04-22,LVS,0.0,buy
2014-04-22,LYV,0.0,buy
2014-04-22,MCO,0.0,buy
2014-04-22,MSCI,0.0,buy
2014-04-22,NWSA,0.0,buy
2014-04-22,PRU,0.0,buy
2014-04-22,TROW,0.0,buy
2014-04-22,TDY,0.0,buy
2014-04-22,TDG,0.0,buy
2014-04-22,UAL,0.0,buy
2014-04-22,VTRS,0.0,buy
2014-04-22,A,166.0,sell
2014-04-22,BMY,4.0,sell
2014-04-22,ECL,0.0,sell
2014-04-22,JCI,0.0,sell
2014-04-22,LMT,0.0,sell
2014-04-22,MCK,0.0,sell
2014-04-22,MS,0.0,sell
2014-04-22,NOC,0.0,sell
2014-04-22,RHI,0.0,sell
2014-04-22,TMO,0.0,sell
2014-04-23,ABBV,166.0,buy
2014-04-23,APD,2.0,buy
2014-04-23,AAL,0.0,buy
2014-04-23,AZO,0.0,buy
2014-04-23,BIO,0.0,buy
2014-04-23,CBOE,0.0,buy
2014-04-23,CTAS,0.0,buy
2014-04-23,FMC,0.0,buy
2014-04-23,FTNT,0.0,buy
2014-04-23,LNC,0.0,buy
2014-04-23,LMT,0.0,buy
2014-04-23,MMC,0.0,buy
2014-04-23,MTCH,0.0,buy
2014-04-23,MET,0.0,buy
2014-04-23,MGM,0.0,buy
2014-04-23,TSLA,0.0,buy
2014-04-23,HIG,0.0,buy
2014-04-23,DIS,0.0,buy
2014-04-23,UAA,0.0,buy
2014-04-23,VFC,0.0,buy
2014-04-23,WAB,0.0,buy
2014-04-23,AAPL,15.0,sell
2014-04-23,CAH,0.0,sell
2014-04-23,CCL,0.0,sell
2014-04-23,CERN,0.0,sell
2014-04-23,ETN,0.0,sell
2014-04-23,HOLX,0.0,sell
2014-04-23,JNPR,0.0,sell
2014-04-23,LHX,0.0,sell
2014-04-23,LVS,0.0,sell
2014-04-23,MCO,0.0,sell
2014-04-23,MSCI,0.0,sell
2014-04-23,NWSA,0.0,sell
2014-04-23,PRU,0.0,sell
2014-04-23,TROW,0.0,sell
2014-04-23,TDG,0.0,sell
2014-04-24,AXP,3.0,buy
2014-04-24,CDNS,1.0,buy
2014-04-24,DHR,0.0,buy
2014-04-24,DRI,0.0,buy
2014-04-24,HCA,0.0,buy
2014-04-24,IDXX,0.0,buy
2014-04-24,LRCX,0.0,buy
2014-04-24,LEN,0.0,buy
2014-04-24,MPWR,0.0,buy
2014-04-24,PFE,0.0,buy
2014-04-24,PHM,0.0,buy
2014-04-24,ROP,0.0,buy
2014-04-24,TTWO,0.0,buy
2014-04-24,UHS,0.0,buy
2014-04-24,VMC,0.0,buy
2014-04-24,WYNN,0.0,buy
2014-04-24,XYL,0.0,buy
2014-04-24,ZBRA,0.0,buy
2014-04-24,ZBH,0.0,buy
2014-04-24,ABBV,166.0,sell
2014-04-24,CTAS,0.0,sell
2014-04-24,FMC,0.0,sell
2014-04-24,LNC,0.0,sell
2014-04-24,LMT,0.0,sell
2014-04-24,MMC,0.0,sell
2014-04-24,MTCH,0.0,sell
2014-04-24,MET,0.0,sell
2014-04-24,HIG,0.0,sell
2014-04-24,DIS,0.0,sell
2014-04-24,VFC,0.0,sell
2014-04-25,INTU,85.0,buy
2014-04-25,PFG,0.0,buy
2014-04-25,GOOGL,10.0,sell
2014-04-25,AXP,3.0,sell
2014-04-25,DHR,0.0,sell
2014-04-25,EXPE,0.0,sell
2014-04-25,HCA,0.0,sell
2014-04-25,LEN,0.0,sell
2014-04-25,MAS,0.0,sell
2014-04-25,MA,86.0,sell
2014-04-25,MPWR,0.0,sell
2014-04-25,PPL,0.0,sell
2014-04-25,PHM,0.0,sell
2014-04-25,UAA,0.0,sell
2014-04-25,UAL,0.0,sell
2014-04-25,VRSN,116.0,sell
2014-04-25,VMC,0.0,sell
2014-04-25,WYNN,0.0,sell
2014-04-25,XYL,0.0,sell
2014-04-28,DHR,113.0,buy
2014-04-28,BKNG,0.0,sell
2014-04-28,SCHW,0.0,sell
2014-04-28,FFIV,56.0,sell
2014-04-28,FBHS,0.0,sell
2014-04-28,INTU,85.0,sell
2014-04-28,IQV,119.0,sell
2014-04-28,PFG,0.0,sell
2014-04-28,REGN,0.0,sell
2014-04-28,CRM,0.0,sell
2014-04-29,AMP,66.0,buy
2014-04-29,PAYX,188.0,buy
2014-04-29,PGR,317.0,buy
2014-04-29,REGN,20.0,buy
2014-04-29,DHR,113.0,sell
2014-04-29,IPGP,0.0,sell
2014-04-29,J,105.0,sell
2014-04-29,WAT,54.0,sell
2014-04-30,ATVI,314.0,buy
2014-04-30,GOOG,11.0,buy
2014-04-30,ABC,104.0,buy
2014-04-30,AJG,90.0,buy
2014-04-30,FMC,0.0,buy
2014-04-30,HLT,0.0,buy
2014-04-30,HUM,0.0,buy
2014-04-30,MSI,0.0,buy
2014-04-30,NOC,0.0,buy
2014-04-30,RCL,0.0,buy
2014-04-30,TSCO,0.0,buy
2014-04-30,AMP,66.0,sell
2014-04-30,EBAY,0.0,sell
2014-04-30,PAYX,188.0,sell
2014-04-30,PGR,317.0,sell
2014-05-01,AKAM,110.0,buy
2014-05-01,ALLE,125.0,buy
2014-05-01,GOOGL,11.0,buy
2014-05-01,EXPE,6.0,buy
2014-05-01,TMUS,0.0,buy
2014-05-01,DIS,0.0,buy
2014-05-01,VMC,0.0,buy
2014-05-01,WYNN,0.0,buy
2014-05-01,ABC,104.0,sell
2014-05-01,AJG,90.0,sell
2014-05-01,FMC,0.0,sell
2014-05-01,HLT,0.0,sell
2014-05-01,HUM,0.0,sell
2014-05-01,MSI,0.0,sell
2014-05-01,NOC,0.0,sell
2014-05-01,RCL,0.0,sell
2014-05-01,TSCO,0.0,sell
2014-05-02,BKNG,5.0,buy
2014-05-02,CF,89.0,buy
2014-05-02,XRAY,0.0,buy
2014-05-02,DFS,0.0,buy
2014-05-02,DISH,0.0,buy
2014-05-02,GPN,0.0,buy
2014-05-02,JPM,0.0,buy
2014-05-02,JNPR,0.0,buy
2014-05-02,NTRS,0.0,buy
2014-05-02,NVR,0.0,buy
2014-05-02,POOL,0.0,buy
2014-05-02,PHM,1.0,buy
2014-05-02,TFX,0.0,buy
2014-05-02,TDG,0.0,buy
2014-05-02,ALLE,125.0,sell
2014-05-02,DIS,0.0,sell
2014-05-02,VMC,0.0,sell
2014-05-02,WYNN,0.0,sell
2014-05-05,CMG,11.0,buy
2014-05-05,KEY,25.0,buy
2014-05-05,MDT,0.0,buy
2014-05-05,PKG,0.0,buy
2014-05-05,RF,0.0,buy
2014-05-05,SPGI,0.0,buy
2014-05-05,VIAC,0.0,buy
2014-05-05,ATVI,314.0,sell
2014-05-05,AMT,68.0,sell
2014-05-05,CF,89.0,sell
2014-05-05,XRAY,0.0,sell
2014-05-05,DFS,0.0,sell
2014-05-05,GPN,0.0,sell
2014-05-05,NTRS,0.0,sell
2014-05-05,POOL,0.0,sell
2014-05-05,PHM,1.0,sell
2014-05-05,TFX,0.0,sell
2014-05-05,TDG,0.0,sell
2014-05-06,BDX,59.0,buy
2014-05-06,SYK,83.0,buy
2014-05-06,ADBE,0.0,sell
2014-05-06,EXPE,6.0,sell
2014-05-06,MDT,0.0,sell
2014-05-06,PKG,0.0,sell
2014-05-06,RF,0.0,sell
2014-05-06,SPGI,0.0,sell
2014-05-06,VIAC,0.0,sell
2014-05-07,MSCI,74.0,buy
2014-05-07,PKI,0.0,buy
2014-05-07,POOL,0.0,buy
2014-05-07,HSY,0.0,buy
2014-05-07,TMO,0.0,buy
2014-05-07,UNH,0.0,buy
2014-05-07,AAP,51.0,sell
2014-05-07,ALGN,0.0,sell
2014-05-07,AWK,165.0,sell
2014-05-07,BLL,246.0,sell
2014-05-07,BDX,59.0,sell
2014-05-07,DISCA,0.0,sell
2014-05-07,DXC,0.0,sell
2014-05-07,EA,249.0,sell
2014-05-07,MDLZ,0.0,sell
2014-05-07,SYK,83.0,sell
2014-05-08,AMAT,356.0,buy
2014-05-08,BBWI,185.0,buy
2014-05-08,CSX,739.0,buy
2014-05-08,DHR,115.0,buy
2014-05-08,FITB,375.0,buy
2014-05-08,HBAN,871.0,buy
2014-05-08,MET,82.0,buy
2014-05-08,NSC,0.0,buy
2014-05-08,PNR,0.0,buy
2014-05-08,VIAC,0.0,buy
2014-05-08,BKNG,5.0,sell
2014-05-08,MSCI,74.0,sell
2014-05-08,PKI,0.0,sell
2014-05-08,POOL,0.0,sell
2014-05-08,TSLA,0.0,sell
2014-05-08,HSY,0.0,sell
2014-05-08,UNH,0.0,sell
2014-05-09,DXC,296.0,buy
2014-05-09,JCI,69.0,buy
2014-05-09,PBCT,1.0,buy
2014-05-09,POOL,0.0,buy
2014-05-09,TJX,0.0,buy
2014-05-09,TFC,0.0,buy
2014-05-09,ZION,0.0,buy
2014-05-09,AMAT,356.0,sell
2014-05-09,BBWI,185.0,sell
2014-05-09,CSX,739.0,sell
2014-05-09,DHR,115.0,sell
2014-05-09,HBAN,871.0,sell
2014-05-09,MET,82.0,sell
2014-05-09,NSC,0.0,sell
2014-05-09,PNR,0.0,sell
2014-05-09,VIAC,0.0,sell
2014-05-12,ALGN,119.0,buy
2014-05-12,AVY,146.0,buy
2014-05-12,CRL,113.0,buy
2014-05-12,SCHW,246.0,buy
2014-05-12,CMA,159.0,buy
2014-05-12,ECL,32.0,buy
2014-05-12,FRC,1.0,buy
2014-05-12,OMC,0.0,buy
2014-05-12,PHM,1.0,buy
2014-05-12,UAA,0.0,buy
2014-05-12,UAL,0.0,buy
2014-05-12,WAT,0.0,buy
2014-05-12,WYNN,0.0,buy
2014-05-12,CI,79.0,sell
2014-05-12,DXC,296.0,sell
2014-05-12,JCI,69.0,sell
2014-05-12,PBCT,1.0,sell
2014-05-12,POOL,0.0,sell
2014-05-12,SBAC,0.0,sell
2014-05-12,TJX,0.0,sell
2014-05-12,TFC,0.0,sell
2014-05-12,ZION,0.0,sell
2014-05-13,BKNG,5.0,buy
2014-05-13,CF,156.0,buy
2014-05-13,EXPE,49.0,buy
2014-05-13,FFIV,0.0,buy
2014-05-13,IQV,1.0,buy
2014-05-13,KLAC,0.0,buy
2014-05-13,MTCH,0.0,buy
2014-05-13,NWL,0.0,buy
2014-05-13,DGX,0.0,buy
2014-05-13,AVY,146.0,sell
2014-05-13,SCHW,246.0,sell
2014-05-13,CMA,159.0,sell
2014-05-13,ECL,32.0,sell
2014-05-13,FRC,1.0,sell
2014-05-13,OMC,0.0,sell
2014-05-13,PHM,1.0,sell
2014-05-13,UHS,0.0,sell
2014-05-13,WYNN,0.0,sell
2014-05-14,ADBE,101.0,buy
2014-05-14,CAH,117.0,buy
2014-05-14,ETN,104.0,buy
2014-05-14,MS,114.0,buy
2014-05-14,RCL,0.0,buy
2014-05-14,CF,156.0,sell
2014-05-14,EXPE,49.0,sell
2014-05-14,NWL,0.0,sell
2014-05-14,DGX,0.0,sell
2014-05-14,TTWO,0.0,sell
2014-05-15,STX,178.0,buy
2014-05-15,CBOE,0.0,sell
2014-05-15,RJF,0.0,sell
2014-05-15,RCL,0.0,sell
2014-05-16,ADI,75.0,buy
2014-05-16,ROK,0.0,buy
2014-05-16,WDC,0.0,buy
2014-05-16,DRI,0.0,sell
2014-05-19,ALLE,0.0,buy
2014-05-19,DPZ,0.0,buy
2014-05-19,FRC,0.0,buy
2014-05-19,TSN,0.0,buy
2014-05-19,ADI,75.0,sell
2014-05-19,ROK,0.0,sell
2014-05-19,WDC,0.0,sell
2014-05-20,TSLA,84.0,buy
2014-05-20,ALLE,0.0,sell
2014-05-20,DPZ,0.0,sell
2014-05-20,FRC,0.0,sell
2014-05-20,TMO,0.0,sell
2014-05-20,TSN,0.0,sell
2014-05-21,CHD,0.0,buy
2014-05-21,FMC,0.0,buy
2014-05-22,BWA,0.0,buy
2014-05-22,DVA,0.0,buy
2014-05-22,DLTR,0.0,buy
2014-05-22,LEN,0.0,buy
2014-05-22,PAYC,0.0,buy
2014-05-22,PBCT,0.0,buy
2014-05-22,POOL,0.0,buy
2014-05-22,TXN,0.0,buy
2014-05-22,CHD,0.0,sell
2014-05-22,FMC,0.0,sell
2014-05-22,IPG,441.0,sell
2014-05-23,AVY,150.0,buy
2014-05-23,MLM,1.0,buy
2014-05-23,MRK,0.0,buy
2014-05-23,MCHP,1.0,buy
2014-05-23,NDAQ,0.0,buy
2014-05-23,NWL,0.0,buy
2014-05-23,NVDA,0.0,buy
2014-05-23,PCAR,0.0,buy
2014-05-23,PNR,0.0,buy
2014-05-23,PNC,0.0,buy
2014-05-23,PRU,0.0,buy
2014-05-23,RF,0.0,buy
2014-05-23,BWA,0.0,sell
2014-05-23,LEN,0.0,sell
2014-05-23,PBCT,0.0,sell
2014-05-23,POOL,0.0,sell
2014-05-23,TXN,0.0,sell
2014-05-27,CBOE,0.0,buy
2014-05-27,CNP,0.0,buy
2014-05-27,CMA,0.0,buy
2014-05-27,EMN,0.0,buy
2014-05-27,FAST,0.0,buy
2014-05-27,GPC,0.0,buy
2014-05-27,ICE,0.0,buy
2014-05-27,LVS,0.0,buy
2014-05-27,MET,0.0,buy
2014-05-27,PAYX,0.0,buy
2014-05-27,PWR,0.0,buy
2014-05-27,RJF,0.0,buy
2014-05-27,TROW,0.0,buy
2014-05-27,TSN,0.0,buy
2014-05-27,VMC,0.0,buy
2014-05-27,CBRE,220.0,sell
2014-05-27,RE,0.0,sell
2014-05-27,MLM,1.0,sell
2014-05-27,MRK,0.0,sell
2014-05-27,MCHP,1.0,sell
2014-05-27,NDAQ,0.0,sell
2014-05-27,NWL,0.0,sell
2014-05-27,NVDA,0.0,sell
2014-05-27,PCAR,0.0,sell
2014-05-27,PNR,0.0,sell
2014-05-27,PNC,0.0,sell
2014-05-27,PRU,0.0,sell
2014-05-28,DRI,170.0,buy
2014-05-28,FE,20.0,buy
2014-05-28,HII,0.0,buy
2014-05-28,TTWO,1.0,buy
2014-05-28,CBOE,0.0,sell
2014-05-28,CNP,0.0,sell
2014-05-28,CMA,0.0,sell
2014-05-28,FAST,0.0,sell
2014-05-28,GPC,0.0,sell
2014-05-28,ICE,0.0,sell
2014-05-28,LVS,0.0,sell
2014-05-28,MET,0.0,sell
2014-05-28,PAYX,0.0,sell
2014-05-28,RJF,0.0,sell
2014-05-28,TROW,0.0,sell
2014-05-28,TSN,0.0,sell
2014-05-28,VMC,0.0,sell
2014-05-29,AEE,0.0,buy
2014-05-29,NOC,0.0,buy
2014-05-29,RTX,0.0,buy
2014-05-29,HIG,0.0,buy
2014-05-29,DRI,170.0,sell
2014-05-29,FE,20.0,sell
2014-05-29,HII,0.0,sell
2014-05-30,AES,568.0,buy
2014-05-30,PEG,14.0,buy
2014-05-30,SO,0.0,buy
2014-05-30,TXT,0.0,buy
2014-05-30,XEL,0.0,buy
2014-05-30,NOC,0.0,sell
2014-05-30,PEP,0.0,sell
2014-05-30,RTX,0.0,sell
2014-05-30,HIG,0.0,sell
2014-06-02,SCHW,0.0,buy
2014-06-02,D,0.0,buy
2014-06-02,EIX,0.0,buy
2014-06-02,LNC,0.0,buy
2014-06-02,NWSA,0.0,buy
2014-06-02,WEC,0.0,buy
2014-06-02,AES,568.0,sell
2014-06-02,BR,0.0,sell
2014-06-02,PEG,14.0,sell
2014-06-02,SO,0.0,sell
2014-06-02,XEL,0.0,sell
2014-06-03,ED,150.0,buy
2014-06-03,DTE,8.0,buy
2014-06-03,ES,0.0,buy
2014-06-03,NWS,1.0,buy
2014-06-03,ALB,93.0,sell
2014-06-03,SCHW,0.0,sell
2014-06-03,D,0.0,sell
2014-06-03,EIX,0.0,sell
2014-06-03,LNC,0.0,sell
2014-06-03,NWSA,0.0,sell
2014-06-04,SCHW,248.0,buy
2014-06-04,DG,0.0,buy
2014-06-04,DUK,0.0,buy
2014-06-04,WMT,0.0,buy
2014-06-04,AIG,146.0,sell
2014-06-04,DTE,8.0,sell
2014-06-04,NWS,1.0,sell
2014-06-05,DE,80.0,buy
2014-06-05,POOL,16.0,buy
2014-06-05,SCHW,248.0,sell
2014-06-05,DG,0.0,sell
2014-06-05,DUK,0.0,sell
2014-06-05,WMT,0.0,sell
2014-06-05,YUM,134.0,sell
2014-06-06,BA,58.0,sell
2014-06-06,COF,0.0,sell
2014-06-06,DE,80.0,sell
2014-06-06,MTB,58.0,sell
2014-06-06,POOL,16.0,sell
2014-06-11,HAS,146.0,buy
2014-06-12,LOW,0.0,sell
2014-06-13,MU,0.0,sell
2014-06-13,UAA,0.0,sell
2014-06-16,DUK,122.0,buy
2014-06-16,TSLA,84.0,sell
2014-06-17,NUE,154.0,buy
2014-06-17,DUK,122.0,sell
2014-06-17,RSG,0.0,sell
2014-06-18,D,122.0,buy
2014-06-18,EW,459.0,buy
2014-06-18,LVS,113.0,buy
2014-06-18,MPC,136.0,buy
2014-06-18,PNW,0.0,buy
2014-06-18,ADBE,101.0,sell
2014-06-18,NUE,154.0,sell
2014-06-19,T,279.0,buy
2014-06-19,CF,163.0,buy
2014-06-19,DE,13.0,buy
2014-06-19,PG,1.0,buy
2014-06-19,VLO,0.0,buy
2014-06-19,D,122.0,sell
2014-06-19,LVS,113.0,sell
2014-06-19,MPC,136.0,sell
2014-06-19,PNW,0.0,sell
2014-06-20,T,279.0,sell
2014-06-20,CF,163.0,sell
2014-06-20,DE,13.0,sell
2014-06-20,PG,1.0,sell
2014-06-20,ROP,0.0,sell
2014-06-20,VLO,0.0,sell
2014-06-24,VTR,124.0,buy
2014-06-24,WMT,99.0,buy
2014-06-24,IDXX,0.0,sell
2014-06-25,BXP,69.0,buy
2014-06-25,LOW,155.0,buy
2014-06-25,WYNN,33.0,buy
2014-06-25,VTR,124.0,sell
2014-06-25,WMT,99.0,sell
2014-06-26,CCI,112.0,buy
2014-06-26,DPZ,94.0,buy
2014-06-26,TSN,1.0,buy
2014-06-26,LOW,155.0,sell
2014-06-26,WYNN,33.0,sell
2014-06-27,DE,81.0,buy
2014-06-27,POOL,113.0,buy
2014-06-27,DPZ,94.0,sell
2014-06-27,KLAC,0.0,sell
2014-06-27,SHW,1.0,sell
2014-06-27,TSN,1.0,sell
2014-06-30,PEAK,249.0,buy
2014-06-30,DE,81.0,sell
2014-06-30,POOL,113.0,sell
2014-07-01,ALK,143.0,buy
2014-07-01,CF,153.0,buy
2014-07-01,PEAK,249.0,sell
2014-07-01,IQV,1.0,sell
2014-07-01,STX,178.0,sell
2014-07-01,TTWO,1.0,sell
2014-07-02,MA,88.0,buy
2014-07-02,WMT,100.0,buy
2014-07-02,ALK,143.0,sell
2014-07-02,CF,153.0,sell
2014-07-02,WAB,0.0,sell
2014-07-03,DE,81.0,buy
2014-07-03,NUE,156.0,buy
2014-07-03,PG,4.0,buy
2014-07-03,WMT,100.0,sell
2014-07-07,DE,81.0,sell
2014-07-07,NUE,156.0,sell
2014-07-07,PG,4.0,sell
2014-07-08,CVS,100.0,buy
2014-07-08,MA,88.0,sell
2014-07-08,TXT,0.0,sell
2014-07-09,GIS,154.0,buy
2014-07-09,PEAK,250.0,buy
2014-07-09,K,124.0,buy
2014-07-09,BAX,188.0,sell
2014-07-09,COO,0.0,sell
2014-07-10,LUMN,335.0,buy
2014-07-10,NVDA,132.0,buy
2014-07-10,BIO,0.0,sell
2014-07-10,GIS,154.0,sell
2014-07-10,PEAK,250.0,sell
2014-07-10,K,124.0,sell
2014-07-10,MHK,45.0,sell
2014-07-11,WELL,145.0,buy
2014-07-11,LUMN,335.0,sell
2014-07-11,PAYC,0.0,sell
2014-07-14,BA,57.0,buy
2014-07-14,C,153.0,buy
2014-07-14,JBHT,92.0,buy
2014-07-14,NOC,54.0,buy
2014-07-14,GNRC,0.0,sell
2014-07-15,AIZ,1.0,buy
2014-07-15,EL,0.0,buy
2014-07-15,LMT,0.0,buy
2014-07-15,NUE,0.0,buy
2014-07-15,TXT,0.0,buy
2014-07-15,BA,57.0,sell
2014-07-15,C,153.0,sell
2014-07-15,JBHT,92.0,sell
2014-07-15,NOC,54.0,sell
2014-07-16,CF,165.0,buy
2014-07-16,PNR,151.0,buy
2014-07-16,AIZ,1.0,sell
2014-07-16,EL,0.0,sell
2014-07-16,LMT,0.0,sell
2014-07-16,NUE,0.0,sell
2014-07-17,BSX,471.0,sell
2014-07-17,CF,165.0,sell
2014-07-17,PNR,151.0,sell
2014-07-18,BA,58.0,buy
2014-07-18,CINF,166.0,buy
2014-07-18,AMD,197.0,sell
2014-07-18,GOOG,11.0,sell
2014-07-18,FISV,0.0,sell
2014-07-21,HII,78.0,buy
2014-07-21,PSX,105.0,buy
2014-07-21,BA,58.0,sell
2014-07-21,CINF,166.0,sell
2014-07-21,FB,101.0,sell
2014-07-22,AOS,286.0,buy
2014-07-22,AIZ,115.0,buy
2014-07-22,CMG,11.0,sell
2014-07-22,ENPH,1.0,sell
2014-07-22,HII,78.0,sell
2014-07-23,DAL,186.0,buy
2014-07-23,ORCL,181.0,buy
2014-07-23,RMD,145.0,buy
2014-07-23,WYNN,36.0,buy
2014-07-23,AOS,286.0,sell
2014-07-23,APD,2.0,sell
2014-07-23,AIZ,115.0,sell
2014-07-23,AZO,0.0,sell
2014-07-23,JNPR,0.0,sell
2014-07-24,ACN,92.0,buy
2014-07-24,NCLH,200.0,buy
2014-07-24,ODFL,156.0,buy
2014-07-24,PM,19.0,buy
2014-07-24,WBA,0.0,buy
2014-07-24,DAL,186.0,sell
2014-07-24,IP,1.0,sell
2014-07-24,RMD,145.0,sell
2014-07-25,SWK,82.0,buy
2014-07-25,VLO,179.0,buy
2014-07-25,ZION,1.0,buy
2014-07-25,ACN,92.0,sell
2014-07-25,CCI,112.0,sell
2014-07-25,NVDA,132.0,sell
2014-07-25,PM,19.0,sell
2014-07-25,WBA,0.0,sell
2014-07-28,ROP,45.0,buy
2014-07-28,VLO,179.0,sell
2014-07-28,ZION,1.0,sell
2014-07-29,XRAY,145.0,buy
2014-07-29,GPS,200.0,buy
2014-07-29,IPGP,20.0,buy
2014-07-29,ODFL,156.0,sell
2014-07-29,ROP,45.0,sell
2014-07-30,LVS,115.0,buy
2014-07-30,LEG,238.0,buy
2014-07-30,MAS,1.0,buy
2014-07-30,ODFL,0.0,buy
2014-07-30,CRM,0.0,buy
2014-07-30,VFC,0.0,buy
2014-07-30,WFC,0.0,buy
2014-07-30,AFL,231.0,sell
2014-07-30,XRAY,145.0,sell
2014-07-30,EMN,0.0,sell
2014-07-30,FLT,0.0,sell
2014-07-30,GPS,200.0,sell
2014-07-30,MGM,0.0,sell
2014-07-31,ETN,104.0,sell
2014-07-31,LVS,115.0,sell
2014-07-31,LEG,238.0,sell
2014-07-31,ODFL,0.0,sell
2014-07-31,TDY,0.0,sell
2014-07-31,TXT,0.0,sell
2014-07-31,VFC,0.0,sell
2014-07-31,WFC,0.0,sell
2014-08-01,HAS,146.0,sell
2014-08-04,ALL,127.0,buy
2014-08-04,AZO,12.0,buy
2014-08-04,BBWI,185.0,buy
2014-08-04,PKG,119.0,buy
2014-08-05,AMD,1590.0,buy
2014-08-05,LEG,250.0,buy
2014-08-05,SEE,159.0,buy
2014-08-05,ALL,127.0,sell
2014-08-05,BBWI,185.0,sell
2014-08-05,CRL,113.0,sell
2014-08-05,ES,0.0,sell
2014-08-05,PKG,119.0,sell
2014-08-05,PFE,0.0,sell
2014-08-05,WAT,0.0,sell
2014-08-05,WEC,0.0,sell
2014-08-06,CHD,217.0,buy
2014-08-06,PG,99.0,buy
2014-08-06,CTSH,0.0,sell
2014-08-06,EW,459.0,sell
2014-08-06,LEG,250.0,sell
2014-08-06,NCLH,200.0,sell
2014-08-07,HII,78.0,buy
2014-08-07,VFC,133.0,buy
2014-08-07,CHD,217.0,sell
2014-08-07,PG,99.0,sell
2014-08-07,WYNN,36.0,sell
2014-08-08,AOS,298.0,buy
2014-08-08,AME,132.0,buy
2014-08-08,DHR,118.0,buy
2014-08-08,ITW,90.0,buy
2014-08-08,NVDA,1433.0,buy
2014-08-08,PKG,114.0,buy
2014-08-08,RMD,0.0,buy
2014-08-08,VIAC,0.0,buy
2014-08-08,HII,78.0,sell
2014-08-08,VFC,133.0,sell
2014-08-11,AAP,53.0,buy
2014-08-11,MO,229.0,buy
2014-08-11,APTV,3.0,buy
2014-08-11,GRMN,0.0,buy
2014-08-11,GE,0.0,buy
2014-08-11,GIS,0.0,buy
2014-08-11,K,0.0,buy
2014-08-11,TAP,0.0,buy
2014-08-11,OXY,0.0,buy
2014-08-11,PM,0.0,buy
2014-08-11,SYY,1.0,buy
2014-08-11,TDY,0.0,buy
2014-08-11,TXT,0.0,buy
2014-08-11,WRB,0.0,buy
2014-08-11,XYL,0.0,buy
2014-08-11,AOS,298.0,sell
2014-08-11,BKNG,5.0,sell
2014-08-11,DHR,118.0,sell
2014-08-11,ITW,90.0,sell
2014-08-11,PKG,114.0,sell
2014-08-11,RMD,0.0,sell
2014-08-11,VIAC,0.0,sell
2014-08-11,VTRS,0.0,sell
2014-08-12,CAT,77.0,buy
2014-08-12,EL,93.0,buy
2014-08-12,RE,47.0,buy
2014-08-12,EXR,158.0,buy
2014-08-12,HRL,301.0,buy
2014-08-12,SJM,0.0,buy
2014-08-12,MCHP,0.0,buy
2014-08-12,REG,0.0,buy
2014-08-12,TER,1.0,buy
2014-08-12,TRV,0.0,buy
2014-08-12,WY,0.0,buy
2014-08-12,MO,229.0,sell
2014-08-12,GRMN,0.0,sell
2014-08-12,GE,0.0,sell
2014-08-12,GIS,0.0,sell
2014-08-12,K,0.0,sell
2014-08-12,TAP,0.0,sell
2014-08-12,PM,0.0,sell
2014-08-12,SYY,1.0,sell
2014-08-12,WRB,0.0,sell
2014-08-12,XYL,0.0,sell
2014-08-13,ABBV,165.0,buy
2014-08-13,AIG,0.0,buy
2014-08-13,AWK,0.0,buy
2014-08-13,AJG,0.0,buy
2014-08-13,AIZ,0.0,buy
2014-08-13,ATO,0.0,buy
2014-08-13,AVGO,0.0,buy
2014-08-13,CDW,0.0,buy
2014-08-13,CE,0.0,buy
2014-08-13,CB,0.0,buy
2014-08-13,CMS,0.0,buy
2014-08-13,DAL,0.0,buy
2014-08-13,XRAY,0.0,buy
2014-08-13,DPZ,0.0,buy
2014-08-13,DOV,0.0,buy
2014-08-13,DTE,0.0,buy
2014-08-13,EIX,0.0,buy
2014-08-13,EA,0.0,buy
2014-08-13,GPC,0.0,buy
2014-08-13,IDXX,0.0,buy
2014-08-13,JNJ,0.0,buy
2014-08-13,LHX,0.0,buy
2014-08-13,LIN,0.0,buy
2014-08-13,MMC,0.0,buy
2014-08-13,MDT,0.0,buy
2014-08-13,MRK,0.0,buy
2014-08-13,NEE,0.0,buy
2014-08-13,NLSN,0.0,buy
2014-08-13,PAYX,0.0,buy
2014-08-13,PPL,0.0,buy
2014-08-13,O,0.0,buy
2014-08-13,SRE,0.0,buy
2014-08-13,STE,0.0,buy
2014-08-13,SYK,0.0,buy
2014-08-13,SNPS,0.0,buy
2014-08-13,TXN,0.0,buy
2014-08-13,HIG,0.0,buy
2014-08-13,TT,0.0,buy
2014-08-13,UNP,0.0,buy
2014-08-13,VTR,0.0,buy
2014-08-13,VNO,0.0,buy
2014-08-13,AAP,53.0,sell
2014-08-13,RE,47.0,sell
